ticker,fy,filed,ni,equity,cfo,assets,assets_cur,liab_cur,ltd,revenue,gross,shares
HD,2021,2022-03-23,11242000000.0,-3116000000.0,13687000000.0,70581000000.0,28477000000.0,23166000000.0,,,37572000000.0,1097000000.0
HD,2022,2023-03-15,12866000000.0,3299000000.0,18839000000.0,71876000000.0,29055000000.0,28693000000.0,,,44853000000.0,1078000000.0
HD,2023,2024-03-13,16433000000.0,-1696000000.0,16571000000.0,76445000000.0,32471000000.0,23110000000.0,,,50832000000.0,1058000000.0
HD,2024,2025-03-21,17105000000.0,1562000000.0,14615000000.0,76530000000.0,29775000000.0,22015000000.0,,,52778000000.0,1025000000.0
HD,2025,2026-03-18,15143000000.0,1044000000.0,21172000000.0,96119000000.0,31683000000.0,28661000000.0,,,50960000000.0,1002000000.0
HEI,2010,2010-12-22,48511000.0,412990000.0,73162000.0,732910000.0,243577000.0,65513000.0,55194000.0,,,34054195.0
HEI,2011,2011-12-22,44626000.0,469112000.0,75817000.0,732910000.0,259249000.0,81832000.0,,,,42225049.0
HEI,2012,2012-12-20,54938000.0,529071000.0,101717000.0,781643000.0,316638000.0,123390000.0,,,,52767000.0
HEI,2013,2013-12-19,72820000.0,616673000.0,,941069000.0,367911000.0,131514000.0,,,,66408000.0
HEI,2014,2014-12-18,85147000.0,606346000.0,,1192846000.0,441472000.0,161286000.0,,,,66624000.0
HEI,2015,2015-12-17,102396000.0,699484000.0,,1533015000.0,431293000.0,152220000.0,,,,66982000.0
HEI,2016,2016-12-15,121293000.0,809863000.0,,1489214000.0,503612000.0,168387000.0,,,,67453000.0
HEI,2017,2017-12-21,133364000.0,963379000.0,172863000.0,1700857000.0,543158000.0,214421000.0,,,,84764000.0
HEI,2018,2018-12-20,156192000.0,1161080000.0,259713000.0,1998412000.0,631892000.0,249437000.0,,1376258000.0,,133145000.0
HEI,2019,2019-12-19,185985000.0,1398251000.0,288285000.0,2653396000.0,733808000.0,282429000.0,,1524813000.0,,135588000.0
HEI,2020,2020-12-23,259233000.0,1666542000.0,328487000.0,2969211000.0,813731000.0,289138000.0,,1777721000.0,,136696000.0
HEI,2021,2021-12-21,327896000.0,1980177000.0,437378000.0,3547711000.0,1165625000.0,241161000.0,,2055647000.0,,137350000.0
HEI,2022,2022-12-21,313984000.0,2263071000.0,409125000.0,3498407000.0,937385000.0,294880000.0,,1787009000.0,,137302000.0
HEI,2023,2023-12-20,304220000.0,2606136000.0,444084000.0,4095496000.0,1152730000.0,420859000.0,,1865682000.0,,137854000.0
HEI,2024,2024-12-19,351675000.0,3145995000.0,467856000.0,7195063000.0,1855342000.0,665342000.0,,2208322000.0,,138037000.0
