strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime
DOUBLE_DIP,INOD,1,2026-07-25,55.89,2026-07-29,55.4,-0.01077,0.00205,calm-down
DOUBLE_DIP,ARM,1,2026-07-25,260.01,2026-07-29,224.89,-0.13707,-0.12426,calm-down
DOUBLE_DIP,INTC,1,2026-07-25,92.32,2026-07-29,81.88,-0.11508,-0.10227,calm-down
DOUBLE_DIP,GFS,1,2026-07-25,53.53,2026-07-29,47.07,-0.12268,-0.10986,calm-down
DOUBLE_DIP,HOOD,1,2026-07-25,94.91,2026-07-29,89.84,-0.05542,-0.0426,calm-down
DOUBLE_DIP,MOH,1,2026-07-25,197.55,2026-07-29,199.02,0.00544,0.01826,calm-down
DOUBLE_DIP,BE,1,2026-07-25,184.89,2026-07-29,163.75,-0.11634,-0.10352,calm-down
DOUBLE_DIP,CRWV,1,2026-07-25,71.88,2026-07-29,60.82,-0.15587,-0.14305,calm-down
DOUBLE_DIP,MRVL,1,2026-07-25,194.23,2026-07-29,163.4,-0.16073,-0.14791,calm-down
DOUBLE_DIP,MCHP,1,2026-07-25,78.86,2026-07-29,71.37,-0.09698,-0.08416,calm-down
DOUBLE_DIP,OKLO,1,2026-07-25,40.25,2026-07-29,36.84,-0.08672,-0.0739,calm-down
DOUBLE_DIP,QBTS,1,2026-07-25,16.21,2026-07-29,16.18,-0.00385,0.00897,calm-down
DOUBLE_DIP,RGTI,1,2026-07-25,14.15,2026-07-29,13.22,-0.06772,-0.05491,calm-down
DOUBLE_DIP,ASTS,1,2026-07-25,56.2,2026-07-29,53.03,-0.05841,-0.04559,calm-down
DOUBLE_DIP,IREN,1,2026-07-25,37.07,2026-07-29,29.31,-0.21133,-0.19852,calm-down
DOUBLE_DIP,INFQ,1,2026-07-25,8.97,2026-07-29,8.83,-0.01761,-0.00479,calm-down
BOLL_SNAP,GOOG,1,2026-07-25,319.09,2026-07-29,335.76,0.05024,0.06306,calm-down
BOLL_SNAP,AMZN,1,2026-07-25,232.11,2026-07-29,226.65,-0.02552,-0.01271,calm-down
