date,ticker,open,close,net_pct,path_pct,eff,regime,swing_count,or_breakout_ret,open_fade_ret,first_hour_dir,closed_dir
2026-07-17,CRWV,70.71,73.21,3.54,20.9,0.169,CHOP,13,2.694,-4.292,1,1
2026-07-17,MU,825.0,848.95,2.9,22.6,0.129,CHOP,10,0.35,-6.775,1,1
2026-07-17,WDC,450.18,477.22,6.01,23.2,0.259,MIXED,13,5.119,-6.013,1,1
2026-07-17,OKLO,40.48,41.11,1.56,18.3,0.085,CHOP,13,-0.391,-3.679,1,1
2026-07-17,INTC,92.07,95.04,3.22,17.3,0.186,CHOP,10,1.146,-5.26,1,1
2026-07-17,TSEM,222.52,234.1,5.2,26.2,0.199,CHOP,14,2.508,-6.316,1,1
2026-07-17,TER,306.25,322.36,5.26,20.7,0.254,MIXED,13,3.899,-5.013,1,1
2026-07-17,STX,720.94,787.66,9.25,24.4,0.38,MIXED,13,8.095,-5.272,1,1
2026-07-17,ONDS,6.51,6.53,0.31,15.7,0.02,CHOP,16,-0.482,-2.968,-1,1
2026-07-17,SMCI,24.3,24.18,-0.49,15.8,0.031,CHOP,11,-0.635,-3.559,-1,-1
2026-07-17,RDDT,181.54,181.18,-0.2,10.8,0.018,CHOP,13,-0.298,-3.241,1,-1
2026-07-17,DELL,376.85,396.34,5.17,20.3,0.255,MIXED,15,3.06,-5.808,1,1
2026-07-17,LRCX,303.83,313.3,3.12,16.2,0.192,CHOP,13,1.693,-4.187,1,1
2026-07-17,HOOD,101.12,99.96,-1.15,14.0,0.082,CHOP,8,-1.354,-3.582,-1,-1
